City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Benghazi,LY,32.1167,20.0667,65.07,52,99,10.22,overcast clouds
236,Uthal,PK,25.8072,66.6219,59.22,34,0,2.26,clear sky
237,Beaumont,US,30.0861,-94.1019,60.8,72,90,6.91,overcast clouds
238,Geraldton,AU,-28.7667,114.6,69.8,94,90,18.41,overcast clouds
239,Bulgan,MN,48.8125,103.5347,1.47,81,0,2.57,clear sky
240,Kodiak,US,57.79,-152.4072,28.4,64,1,3.44,clear sky
241,Ilhabela,BR,-23.7781,-45.3581,78.17,62,50,4.61,scattered clouds
242,Almaznyy,RU,48.0448,40.045,21.2,79,0,8.95,clear sky
243,Kaeo,NZ,-35.1,173.7833,60.01,93,100,3.0,overcast clouds
244,Jijiga,ET,9.35,42.8,60.58,65,0,6.8,clear sky
245,Veshenskaya,RU,49.6303,41.7334,21.61,85,100,14.25,light snow
246,Guia De Isora,ES,28.2115,-16.7795,66.2,52,40,6.91,scattered clouds
247,Chernyshevskiy,RU,63.0128,112.4714,-31.76,86,19,1.7,few clouds
248,Khorramabad,IR,33.4878,48.3558,44.55,79,100,5.68,overcast clouds
249,Fairbanks,US,64.8378,-147.7164,-8.0,77,90,0.58,light snow
250,Saint Anthony,US,45.0205,-93.218,1.4,50,20,18.41,few clouds
251,Huntington,US,38.4193,-82.4452,45.0,52,1,5.75,clear sky
252,Senno,RU,59.5336,33.9167,-1.48,93,99,6.58,overcast clouds
253,Belaya Gora,RU,68.5333,146.4167,-29.79,83,67,2.86,broken clouds
254,Nueve De Julio,AR,-35.4444,-60.8831,96.01,29,0,1.99,clear sky
255,Berezovyy,RU,51.6667,135.7,-2.04,89,100,2.33,overcast clouds
256,Nome,US,64.5011,-165.4064,15.8,86,90,2.13,mist
257,Novovarshavka,RU,54.1721,74.6946,27.73,97,100,18.23,overcast clouds
258,Darlowo,PL,54.421,16.4107,26.01,71,56,9.91,light snow
259,Pomabamba,PE,-8.8333,-77.4667,62.02,54,100,5.21,moderate rain
260,Coihaique,CL,-45.5752,-72.0662,73.4,38,75,6.91,broken clouds
261,Lompoc,US,34.6391,-120.4579,63.0,58,1,3.44,clear sky
262,Miramar,US,25.9873,-80.2323,80.6,61,32,14.97,moderate rain
263,Coquimbo,CL,-29.9533,-71.3436,68.0,64,20,10.36,few clouds
264,Namibe,AO,-15.1961,12.1522,72.14,80,57,10.51,broken clouds
265,Phalaborwa,ZA,-23.943,31.1411,75.2,94,98,3.44,overcast clouds
266,Douglas,US,41.3,-96.167,10.4,67,90,12.66,light snow
267,Ust-Kan,RU,50.9276,84.761,17.04,91,1,5.53,clear sky
268,Singkawang,ID,0.9,109.0,75.43,92,100,2.73,overcast clouds
269,Port-Gentil,GA,-0.7193,8.7815,82.4,83,40,6.91,moderate rain
270,Bilma,NE,18.6853,12.9164,67.95,22,83,6.8,broken clouds
271,Hambantota,LK,6.1241,81.1185,73.4,100,20,4.61,few clouds
272,Naze,JP,28.3667,129.4833,60.75,81,98,8.16,overcast clouds
273,Papara,BR,-3.9839,-38.7273,87.8,62,40,12.66,scattered clouds
274,Dukat,RU,62.55,155.55,-10.55,89,100,2.33,overcast clouds
275,Rincon,US,32.296,-81.2354,50.0,76,90,9.22,overcast clouds
276,Tobol,KZ,52.6844,62.5794,16.95,93,100,23.31,overcast clouds
277,Maridi,SS,4.9158,29.4742,74.93,19,0,4.54,clear sky
