City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Ovsyanka,RU,26.6,clear sky,55.9575,92.5519,Hotel Alsey Krasnoyarsk
391,Atar,MR,73.4,clear sky,20.5169,-13.0499,Oumou Elghoura
392,La Macarena,CO,82.65,overcast clouds,2.1837,-73.7849,Casa Hotel Real
394,Esperance,AU,59.0,scattered clouds,-33.8667,121.9,Hospitality Esperance
395,Mathathane,BW,77.7,light rain,-22.2687,28.7495,Selepswe Resort
396,Tucuman,AR,87.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
397,Port Hedland,AU,77.0,clear sky,-20.3167,118.5667,The Esplanade Hotel
398,Laguna,US,55.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
399,Southbridge,US,39.99,scattered clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
400,Uray,RU,33.84,light snow,60.1247,64.7758,Hotel Pioner
401,Mkushi,ZM,66.94,light rain,-13.6202,29.3939,HARVEST Inn Mkushi
402,Hof,DE,32.0,light snow,50.3167,11.9167,Hotel Burghof
403,Baiyin,CN,33.01,clear sky,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
404,Kudahuvadhoo,MV,81.19,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
405,Cabo San Lucas,MX,80.01,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
406,Barra De Sao Francisco,BR,79.86,moderate rain,-18.755,-40.8908,Td Hotel
407,Bandarbeyla,SO,76.32,few clouds,9.4942,50.8122,JABIR HOTEL
409,Namatanai,PG,79.02,broken clouds,-3.6667,152.4333,Namatanai Hotel
411,Cardenas,CU,78.8,broken clouds,23.0375,-81.2047,Casa JF 1906
412,Aljezur,PT,51.01,overcast clouds,37.3191,-8.8033,Amazigh Hostel
413,Port Hueneme,US,66.99,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
415,Tabas,IR,53.6,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
420,Saint George,US,53.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
423,Saint-Pierre,RE,79.0,broken clouds,-21.3393,55.4781,Lindsey Hôtel
424,Mocuba,MZ,76.33,overcast clouds,-16.8392,36.9856,Phama Lodge
426,Puerto Escondido,MX,87.8,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
427,Astoria,US,46.99,mist,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
428,Hobyo,SO,77.56,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
432,Joshimath,IN,38.41,clear sky,30.5667,79.5667,Shivalik Camps & Resort
433,Marawi,PH,73.99,overcast clouds,7.9986,124.2928,Derogongan Residence
434,Vardo,NO,23.0,light snow,70.3705,31.1107,Vardø Hotel AS
435,Ucluelet,CA,46.4,broken clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
438,Iwaki,JP,37.0,clear sky,37.05,140.8833,Toyoko Inn Iwaki Ekimae
